import time: self [us] | cumulative | imported package
import time:       557 |        557 |                                     chromadb.utils.embedding_functions.openai_embedding_function
import time:       527 |        527 |                                     chromadb.utils.embedding_functions.huggingface_embedding_function
import time:       410 |        410 |                                     chromadb.utils.embedding_functions.sentence_transformer_embedding_function
import time:       634 |        634 |                                     chromadb.utils.embedding_functions.google_embedding_function
import time:       416 |        416 |                                     chromadb.utils.embedding_functions.ollama_embedding_function
import time:       388 |        388 |                                     chromadb.utils.embedding_functions.instructor_embedding_function
import time:       659 |        659 |                                     chromadb.utils.embedding_functions.jina_embedding_function
import time:       544 |        544 |                                     chromadb.utils.embedding_functions.voyageai_embedding_function
import time:       969 |        969 |                                     chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2
import time:       511 |        511 |                                     chromadb.utils.embedding_functions.open_clip_embedding_function
import time:       430 |        430 |                                     chromadb.utils.embedding_functions.roboflow_embedding_function
import time:       426 |        426 |                                     chromadb.utils.embedding_functions.text2vec_embedding_function
import time:       502 |        502 |                                     chromadb.utils.embedding_functions.amazon_bedrock_embedding_function
import time:       681 |        681 |                                     chromadb.utils.embedding_functions.chroma_langchain_embedding_function
import time:       337 |        337 |                                     chromadb.utils.embedding_functions.baseten_embedding_function
import time:       525 |        525 |                                     chromadb.utils.embedding_functions.cloudflare_workers_ai_embedding_function
import time:       444 |        444 |                                     chromadb.utils.embedding_functions.together_ai_embedding_function
import time:       325 |        325 |                                     chromadb.utils.embedding_functions.mistral_embedding_function
import time:       395 |        395 |                                     chromadb.utils.embedding_functions.morph_embedding_function
import time:       579 |        579 |                                     chromadb.utils.embedding_functions.nomic_embedding_function
import time:       297 |        297 |                                       chromadb.utils.sparse_embedding_utils
import time:       743 |       1039 |                                     chromadb.utils.embedding_functions.huggingface_sparse_embedding_function
import time:       604 |        604 |                                     chromadb.utils.embedding_functions.fastembed_sparse_embedding_function
import time:       687 |        687 |                                     chromadb.utils.embedding_functions.bm25_embedding_function
import time:       349 |        349 |                                       chromadb.utils.embedding_functions.utils
import time:       825 |       1174 |                                     chromadb.utils.embedding_functions.chroma_cloud_qwen_embedding_function
import time:       557 |        557 |                                     chromadb.utils.embedding_functions.chroma_cloud_splade_embedding_function
import time:       420 |        420 |                                       chromadb.utils.embedding_functions.schemas.bm25_tokenizer
import time:       618 |       1038 |                                     chromadb.utils.embedding_functions.chroma_bm25_embedding_function
import time:      1416 |      76572 |                                   chromadb.utils.embedding_functions
import time:      4479 |      81051 |                                 chromadb.api.collection_configuration
import time:     14613 |     115840 |                               chromadb.types
import time:     13029 |     128869 |                             chromadb.execution.expression.operator
import time:      2925 |       2925 |                             chromadb.execution.expression.plan
import time:       729 |     133003 |                           chromadb.execution.expression
import time:      1085 |       1085 |                             graphlib
import time:        90 |         90 |                             chromadb.is_thin_client
import time:     29396 |      30570 |                           chromadb.config
import time:      2298 |       2298 |                           chromadb.auth
import time:       145 |        145 |                             chromadb.api.models
import time:      2898 |       2898 |                             chromadb.api.models.CollectionCommon
import time:       544 |        544 |                             chromadb.api.functions
import time:      1626 |       5212 |                           chromadb.api.models.Collection
import time:       425 |        425 |                           chromadb.api.models.AttachedFunction
import time:      1066 |       1066 |                             chromadb.api.models.AsyncCollection
import time:    122964 |     124029 |                           chromadb.api.async_api
import time:    131573 |     549790 |                         chromadb.api
import time:       718 |        718 |                           chromadb.api.base_http_client
import time:       587 |        587 |                             chromadb.telemetry
import time:      1517 |       2103 |                           chromadb.telemetry.product
import time:       633 |        633 |                           chromadb.telemetry.product.events
import time:      8086 |      11539 |                         chromadb.api.shared_system_client
import time:       707 |        707 |                         chromadb.auth.utils
import time:    163263 |     725297 |                       chromadb.api.client
import time:    158713 |     158713 |                       chromadb.api.async_client
import time:      1008 |       1008 |                             opentelemetry.sdk._shared_internal
import time:       672 |       1679 |                           opentelemetry.sdk.trace.export
import time:       295 |        295 |                                   opentelemetry.exporter
import time:       413 |        707 |                                 opentelemetry.exporter.otlp
import time:       240 |        947 |                               opentelemetry.exporter.otlp.proto
import time:       657 |        657 |                               opentelemetry.exporter.otlp.proto.grpc.version
import time:       708 |       2310 |                             opentelemetry.exporter.otlp.proto.grpc
import time:       574 |        574 |                                 grpc._cython
import time:      1909 |       1909 |                                     grpc._typing
import time:       783 |       2691 |                                   grpc._observability
import time:     45970 |      48661 |                                 grpc._cython.cygrpc
import time:       874 |      50107 |                               grpc._compression
import time:       801 |        801 |                               grpc._runtime_protos
import time:       372 |        372 |                               grpc._grpcio_metadata
import time:       280 |        280 |                               grpc_tools
import time:       231 |        231 |                               grpc_health
import time:       218 |        218 |                               grpc_reflection
import time:       566 |        566 |                                   grpc.aio._metadata
import time:       534 |        534 |                                   grpc.aio._typing
import time:      1183 |       2283 |                                 grpc.aio._base_call
import time:      1416 |       1416 |                                 grpc.aio._base_channel
import time:       995 |        995 |                                 grpc.aio._base_server
import time:       653 |        653 |                                   grpc._common
import time:      1452 |       2104 |                                 grpc.aio._call
import time:       352 |        352 |                                     grpc.aio._utils
import time:      1223 |       1575 |                                   grpc.aio._interceptor
import time:      1793 |       3368 |                                 grpc.aio._channel
import time:       954 |        954 |                                 grpc.aio._server
import time:       961 |      12078 |                               grpc.aio
import time:      2798 |      66883 |                             grpc
import time:      1144 |       1144 |                                 opentelemetry.exporter.otlp.proto.common.version
import time:       695 |       1839 |                               opentelemetry.exporter.otlp.proto.common
import time:       419 |        419 |                                         opentelemetry.proto
import time:       602 |       1021 |                                       opentelemetry.proto.common
import time:       420 |       1440 |                                     opentelemetry.proto.common.v1
import time:       322 |        322 |                                       google
import time:       494 |        816 |                                     google.protobuf
import time:       451 |        451 |                                       google.protobuf.internal
import time:        87 |         87 |                                         google.protobuf.internal._api_implementation
import time:       654 |        654 |                                         google.protobuf.message
import time:       347 |        347 |                                         google.protobuf.internal.enum_type_wrapper
import time:        82 |         82 |                                         google.protobuf.enable_deterministic_proto_serialization
import time:     10398 |      11567 |                                       google.protobuf.internal.api_implementation
import time:      1173 |      13190 |                                     google.protobuf.descriptor
import time:       391 |        391 |                                       google.protobuf.descriptor_database
import time:      1591 |       1591 |                                       google.protobuf.text_encoding
import time:       310 |        310 |                                       google.protobuf.internal.python_edition_defaults
import time:       929 |        929 |                                           encodings.raw_unicode_escape
import time:       775 |        775 |                                           encodings.unicode_escape
import time:      1382 |       1382 |                                             google.protobuf.internal.containers
import time:       479 |        479 |                                               google.protobuf.internal.wire_format
import time:       565 |       1043 |                                             google.protobuf.internal.encoder
import time:       652 |       3076 |                                           google.protobuf.internal.decoder
import time:      1252 |       1252 |                                           google.protobuf.internal.type_checkers
import time:       476 |        476 |                                           google.protobuf.unknown_fields
import time:      7884 |      14390 |                                         google.protobuf.text_format
import time:       377 |        377 |                                         google.protobuf.internal.extension_dict
import time:       254 |        254 |                                         google.protobuf.internal.message_listener
import time:       434 |        434 |                                           google.protobuf.internal.field_mask
import time:       741 |       1175 |                                         google.protobuf.internal.well_known_types
import time:       758 |      16952 |                                       google.protobuf.internal.python_message
import time:       695 |      19936 |                                     google.protobuf.descriptor_pool
import time:       291 |        291 |                                         google.protobuf.pyext
import time:       483 |        483 |                                         google.protobuf.pyext.cpp_message
import time:       366 |       1140 |                                       google.protobuf.message_factory
import time:       455 |       1595 |                                     google.protobuf.symbol_database
import time:       278 |        278 |                                       google.protobuf.reflection
import time:       419 |        697 |                                     google.protobuf.internal.builder
import time:       993 |      38665 |                                   opentelemetry.proto.common.v1.common_pb2
import time:       450 |        450 |                                       opentelemetry.proto.resource
import time:       414 |        863 |                                     opentelemetry.proto.resource.v1
import time:       429 |       1292 |                                   opentelemetry.proto.resource.v1.resource_pb2
import time:      1162 |      41118 |                                 opentelemetry.exporter.otlp.proto.common._internal
import time:       306 |        306 |                                       opentelemetry.proto.collector
import time:       428 |        733 |                                     opentelemetry.proto.collector.trace
import time:       411 |       1144 |                                   opentelemetry.proto.collector.trace.v1
import time:       271 |        271 |                                     opentelemetry.proto.trace
import time:       286 |        557 |                                   opentelemetry.proto.trace.v1
import time:       536 |        536 |                                   opentelemetry.proto.trace.v1.trace_pb2
import time:       556 |       2792 |                                 opentelemetry.proto.collector.trace.v1.trace_service_pb2
import time:      1833 |      45742 |                               opentelemetry.exporter.otlp.proto.common._internal.trace_encoder
import time:       256 |      47835 |                             opentelemetry.exporter.otlp.proto.common.trace_encoder
import time:       229 |        229 |                                 google.rpc
import time:       420 |        420 |                                   google.protobuf.runtime_version
import time:       510 |        930 |                                 google.protobuf.duration_pb2
import time:      1223 |       2381 |                               google.rpc.error_details_pb2
import time:       450 |        450 |                                   opentelemetry.proto.collector.logs
import time:       437 |        886 |                                 opentelemetry.proto.collector.logs.v1
import time:       156 |        156 |                                   opentelemetry.proto.logs
import time:       349 |        504 |                                 opentelemetry.proto.logs.v1
import time:       502 |        502 |                                 opentelemetry.proto.logs.v1.logs_pb2
import time:       657 |       2548 |                               opentelemetry.proto.collector.logs.v1.logs_service_pb2
import time:      1013 |       1013 |                                 grpc._utilities
import time:       511 |       1523 |                               opentelemetry.proto.collector.logs.v1.logs_service_pb2_grpc
import time:       503 |        503 |                                   opentelemetry.proto.collector.metrics
import time:       509 |       1012 |                                 opentelemetry.proto.collector.metrics.v1
import time:       301 |        301 |                                   opentelemetry.proto.metrics
import time:       894 |       1194 |                                 opentelemetry.proto.metrics.v1
import time:       930 |        930 |                                 opentelemetry.proto.metrics.v1.metrics_pb2
import time:       585 |       3720 |                               opentelemetry.proto.collector.metrics.v1.metrics_service_pb2
import time:       432 |        432 |                               opentelemetry.proto.collector.metrics.v1.metrics_service_pb2_grpc
import time:       412 |        412 |                               opentelemetry.proto.collector.trace.v1.trace_service_pb2_grpc
import time:       938 |        938 |                                       opentelemetry._logs.severity
import time:       720 |       1657 |                                     opentelemetry._logs._internal
import time:       341 |       1998 |                                   opentelemetry._logs
import time:       137 |        137 |                                     opentelemetry.semconv._incubating
import time:       358 |        494 |                                   opentelemetry.semconv._incubating.attributes
import time:       716 |        716 |                                   opentelemetry.semconv._incubating.attributes.code_attributes
import time:      4122 |       7329 |                                 opentelemetry.sdk._logs._internal
import time:       445 |       7774 |                               opentelemetry.sdk._logs
import time:      1226 |       1226 |                                 opentelemetry.sdk._logs._internal.export
import time:       857 |        857 |                                 opentelemetry.sdk._logs._internal.export.in_memory_log_exporter
import time:       424 |       2507 |                               opentelemetry.sdk._logs.export
import time:       460 |        460 |                                           opentelemetry.metrics._internal.observation
import time:      3784 |       4243 |                                         opentelemetry.metrics._internal.instrument
import time:      1845 |       6088 |                                       opentelemetry.metrics._internal
import time:       372 |       6460 |                                     opentelemetry.metrics
import time:       540 |        540 |                                     opentelemetry.sdk.metrics._internal.exceptions
import time:       992 |        992 |                                       opentelemetry.sdk.metrics._internal.exemplar.exemplar
import time:       555 |        555 |                                       opentelemetry.sdk.metrics._internal.exemplar.exemplar_filter
import time:       735 |        735 |                                       opentelemetry.sdk.metrics._internal.exemplar.exemplar_reservoir
import time:       341 |       2622 |                                     opentelemetry.sdk.metrics._internal.exemplar
import time:       894 |        894 |                                       opentelemetry.sdk.metrics._internal.measurement
import time:       729 |       1622 |                                     opentelemetry.sdk.metrics._internal.instrument
import time:       874 |        874 |                                       opentelemetry.sdk.metrics._internal.sdk_configuration
import time:       242 |        242 |                                               opentelemetry.sdk.metrics._internal.exponential_histogram
import time:       582 |        823 |                                             opentelemetry.sdk.metrics._internal.exponential_histogram.buckets
import time:       267 |        267 |                                             opentelemetry.sdk.metrics._internal.exponential_histogram.mapping
import time:       212 |        212 |                                               opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.errors
import time:       218 |        218 |                                               opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.ieee_754
import time:       347 |        777 |                                             opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.exponent_mapping
import time:       226 |        226 |                                             opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.logarithm_mapping
import time:      7788 |       7788 |                                             opentelemetry.sdk.metrics._internal.point
import time:      1520 |      11398 |                                           opentelemetry.sdk.metrics._internal.aggregation
import time:       898 |        898 |                                           opentelemetry.sdk.metrics._internal.export
import time:       606 |        606 |                                           opentelemetry.sdk.metrics._internal.view
import time:       538 |      13439 |                                         opentelemetry.sdk.metrics._internal._view_instrument_match
import time:       601 |      14040 |                                       opentelemetry.sdk.metrics._internal.metric_reader_storage
import time:       487 |      15399 |                                     opentelemetry.sdk.metrics._internal.measurement_consumer
import time:       904 |      27544 |                                   opentelemetry.sdk.metrics._internal
import time:       699 |      28243 |                                 opentelemetry.sdk.metrics
import time:       379 |      28621 |                               opentelemetry.sdk.metrics.export
import time:      3098 |       3098 |                               opentelemetry.util.re
import time:      1580 |      54591 |                             opentelemetry.exporter.otlp.proto.grpc.exporter
import time:       577 |     172194 |                           opentelemetry.exporter.otlp.proto.grpc.trace_exporter
import time:      1413 |     175285 |                         chromadb.telemetry.opentelemetry
import time:      8636 |     183921 |                       chromadb.auth.token_authn
import time:       163 |        163 |                       google.colab
import time:        99 |         99 |                       chromadb.is_thin_client
import time:     13755 |    1081945 |                     chromadb
import time:       497 |        497 |                     langchain_core.vectorstores
import time:      4880 |       4880 |                     langchain_core.retrievers
import time:     12233 |    1099553 |                   langchain_chroma.vectorstores
import time:       604 |    1100157 |                 langchain_chroma
import time:       450 |        450 |                         langchain_openai.chat_models._client_utils
import time:       445 |        445 |                         langchain_openai.chat_models._compat
import time:       311 |        311 |                           langchain_openai.data
import time:      8306 |       8617 |                         langchain_openai.data._profiles
import time:     65272 |      74782 |                       langchain_openai.chat_models.base
import time:     24434 |      99215 |                     langchain_openai.chat_models.azure
import time:       574 |      99788 |                   langchain_openai.chat_models
import time:     11993 |      11993 |                       langchain_openai.embeddings.base
import time:     10867 |      22860 |                     langchain_openai.embeddings.azure
import time:       467 |      23327 |                   langchain_openai.embeddings
import time:     24281 |      24281 |                       langchain_openai.llms.base
import time:     14497 |      38778 |                     langchain_openai.llms.azure
import time:       573 |      39351 |                   langchain_openai.llms
import time:       563 |        563 |                     langchain_openai.tools.custom_tool
import time:       518 |       1081 |                   langchain_openai.tools
import time:       777 |     164322 |                 langchain_openai
import time:       320 |        320 |                     dimos.exceptions
import time:       478 |        797 |                   dimos.exceptions.agent_memory_exceptions
import time:       430 |       1227 |                 dimos.agents_deprecated.memory.base
import time:       573 |    1266613 |               dimos.agents_deprecated.memory.chroma_impl
import time:       323 |        323 |                 dimos.agents_deprecated.prompt_builder
import time:       332 |        332 |                   dimos.agents_deprecated.tokenizer
import time:       463 |        794 |                 dimos.agents_deprecated.tokenizer.base
import time:       545 |        545 |                 dimos.agents_deprecated.tokenizer.openai_tokenizer
import time:       579 |       2239 |               dimos.agents_deprecated.prompt_builder.impl
import time:       338 |        338 |                 dimos.skills
import time:       233 |        233 |                 dimos.types.constants
import time:      2047 |       2617 |               dimos.skills.skills
import time:       592 |        592 |               dimos.stream.frame_processor
import time:       422 |        422 |               dimos.stream.stream_merger
import time:       901 |        901 |               dimos.stream.video_operators
import time:   1166977 |    2440744 |             dimos.agents_deprecated.agent
import time:      2570 |       2570 |               transformers.configuration_utils
import time:       673 |        673 |                 transformers.generation
import time:       646 |        646 |                   transformers.utils.deprecation
import time:      4127 |       4772 |                 transformers.cache_utils
import time:      1189 |       1189 |                 transformers.integrations.deepspeed
import time:       463 |        463 |                 transformers.integrations.fsdp
import time:     21938 |      21938 |                 transformers.modeling_outputs
import time:     10092 |      10092 |                       safetensors._safetensors_rust
import time:       644 |      10735 |                     safetensors
import time:      1116 |      11850 |                   safetensors.torch
import time:       571 |        571 |                               torch.distributed._functional_collectives_impl
import time:       579 |        579 |                               torch.utils._cxx_pytree
import time:      3871 |       5021 |                             torch.distributed._functional_collectives
import time:     16705 |      16705 |                             torch.distributed.tensor._collective_utils
import time:      2179 |      23903 |                           torch.distributed.tensor.placement_types
import time:      1507 |      25410 |                         torch.distributed.tensor._dtensor_spec
import time:       373 |        373 |                           torch.utils._cxx_pytree
import time:      3725 |       4098 |                         torch.distributed.tensor._op_schema
import time:       621 |        621 |                               torch.distributed.tensor._random
import time:       420 |        420 |                                 torch.distributed.tensor.device_mesh
import time:       742 |       1162 |                               torch.distributed.tensor._redistribute
import time:       476 |        476 |                                 torch.distributed.tensor._utils
import time:       795 |       1271 |                               torch.distributed.tensor._sharding_prop
import time:       520 |        520 |                               torch.distributed.tensor._tp_conv
import time:       350 |        350 |                               torch.utils._cxx_pytree
import time:       623 |       4544 |                             torch.distributed.tensor._dispatch
import time:      1558 |       6101 |                           torch.distributed.tensor._api
import time:      1163 |       7264 |                         torch.distributed.tensor._ops.utils
import time:       962 |      37733 |                       torch.distributed.tensor._ops._conv_ops
import time:      1873 |       1873 |                       torch.distributed.tensor._ops._embedding_ops
import time:      4724 |       4724 |                       torch.distributed.tensor._ops._math_ops
import time:      1170 |       1170 |                         torch.distributed.tensor._ops._einsum_strategy
import time:      1115 |       2284 |                       torch.distributed.tensor._ops._matrix_ops
import time:     16633 |      16633 |                       torch.distributed.tensor._ops._pointwise_ops
import time:       645 |        645 |                       torch.distributed.tensor._ops._random_ops
import time:       710 |        710 |                         torch.distributed.tensor._ops._common_rules
import time:      1746 |       2455 |                       torch.distributed.tensor._ops._tensor_ops
import time:      4798 |       4798 |                       torch.distributed.tensor._ops._view_ops
import time:      1010 |      72152 |                     torch.distributed.tensor._ops
import time:       407 |      72559 |                   torch.distributed.tensor
import time:      1596 |       1596 |                       torch.distributed.tensor.parallel.style
import time:       838 |       2434 |                     torch.distributed.tensor.parallel.api
import time:       749 |        749 |                     torch.distributed.tensor.parallel.loss
import time:       506 |       3688 |                   torch.distributed.tensor.parallel
import time:      5717 |      93813 |                 transformers.pytorch_utils
import time:       833 |        833 |                 transformers.generation.beam_constraints
import time:      1115 |       1115 |                 transformers.generation.beam_search
import time:      1812 |       1812 |                   transformers.generation.logits_process
import time:       806 |       2617 |                 transformers.generation.candidate_generator
import time:      2673 |       2673 |                 transformers.generation.configuration_utils
import time:       903 |        903 |                 transformers.generation.stopping_criteria
import time:      1843 |       1843 |                       huggingface_hub.serialization._base
import time:       830 |        830 |                       huggingface_hub.serialization._tensorflow
import time:      1678 |       1678 |                       huggingface_hub.serialization._torch
import time:       402 |        402 |                               accelerate.utils.constants
import time:      1085 |       1085 |                               accelerate.utils.environment
import time:      2762 |       2762 |                                 accelerate.utils.versions
import time:       272 |        272 |                                     torch_xla
import time:        33 |        304 |                                   torch_xla.core
import time:        38 |        342 |                                 torch_xla.core.xla_model
import time:       735 |       3837 |                               accelerate.utils.imports
import time:     18977 |      24299 |                             accelerate.utils.dataclasses
import time:      1789 |      26088 |                           accelerate.parallelism_config
import time:       819 |        819 |                           accelerate.utils.ao
import time:      1941 |       1941 |                             accelerate.state
import time:       771 |        771 |                             accelerate.utils.memory
import time:       605 |        605 |                             accelerate.utils.offload
import time:      5022 |       5022 |                             accelerate.utils.tqdm
import time:      2797 |      11134 |                           accelerate.utils.modeling
import time:       967 |        967 |                           accelerate.utils.operations
import time:       460 |        460 |                                       accelerate.commands
import time:      4586 |       4586 |                                           accelerate.commands.config.config_args
import time:       335 |        335 |                                                 accelerate.commands.menu.cursor
import time:       356 |        356 |                                                   accelerate.commands.menu.keymap
import time:       325 |        681 |                                                 accelerate.commands.menu.input
import time:       454 |        454 |                                                 accelerate.commands.menu.helpers
import time:       901 |       2370 |                                               accelerate.commands.menu.selection_menu
import time:       548 |       2918 |                                             accelerate.commands.menu
import time:       465 |       3382 |                                           accelerate.commands.config.config_utils
import time:       630 |       8597 |                                         accelerate.commands.config.cluster
import time:       661 |        661 |                                         accelerate.commands.config.sagemaker
import time:       674 |       9932 |                                       accelerate.commands.config.config
import time:       405 |        405 |                                       accelerate.commands.config.default
import time:       322 |        322 |                                       accelerate.commands.config.update
import time:       583 |      11699 |                                     accelerate.commands.config
import time:        56 |      11754 |                                   accelerate.commands.config.default
import time:       389 |        389 |                                   accelerate.logging
import time:       401 |        401 |                                   accelerate.utils.transformer_engine
import time:     12408 |      24951 |                                 accelerate.utils.other
import time:      1114 |      26065 |                               accelerate.hooks
import time:      1264 |      27329 |                             accelerate.big_modeling
import time:       683 |      28011 |                           accelerate.utils.bnb
import time:      1091 |       1091 |                           accelerate.utils.fsdp_utils
import time:      1711 |       1711 |                           accelerate.utils.launch
import time:       484 |        484 |                             accelerate.optimizer
import time:      1546 |       1546 |                             accelerate.scheduler
import time:      1238 |       3268 |                           accelerate.utils.megatron_lm
import time:       823 |        823 |                           accelerate.utils.random
import time:       446 |        446 |                           accelerate.utils.torch_xla
import time:      1400 |      75752 |                         accelerate.utils
import time:        54 |      75806 |                       accelerate.utils.dataclasses
import time:       751 |        751 |                       accelerate.checkpointing
import time:      1297 |       1297 |                       accelerate.data_loader
import time:      8655 |       8655 |                       accelerate.tracking
import time:      3577 |      94433 |                     accelerate.accelerator
import time:       566 |        566 |                     accelerate.inference
import time:       456 |        456 |                     accelerate.launchers
import time:      2678 |      98133 |                   accelerate
import time:        47 |      98179 |                 accelerate.hooks
import time:      8597 |     237761 |               transformers.models.auto.auto_factory
import time:     23511 |     263841 |             dimos.agents_deprecated.tokenizer.huggingface_tokenizer
import time:       662 |    3295217 |           dimos.models.qwen.video_query
import time:       318 |        318 |                     dimos.perception
import time:       525 |        525 |                                 dimos_lcm.vision_msgs.BoundingBox3D
import time:       382 |        382 |                                     dimos_lcm.vision_msgs.ObjectHypothesis
import time:       740 |       1122 |                                   dimos_lcm.vision_msgs.ObjectHypothesisWithPose
import time:       269 |        269 |                                       dimos_lcm.vision_msgs.Point2D
import time:       435 |        703 |                                     dimos_lcm.vision_msgs.Pose2D
import time:       706 |       1408 |                                   dimos_lcm.vision_msgs.BoundingBox2D
import time:       552 |       3082 |                                 dimos_lcm.vision_msgs.Detection2D
import time:       497 |        497 |                                   dimos_lcm.vision_msgs.VisionClass
import time:       368 |        864 |                                 dimos_lcm.vision_msgs.LabelInfo
import time:       345 |        345 |                                 dimos_lcm.vision_msgs.Detection3D
import time:       338 |        338 |                                 dimos_lcm.vision_msgs.Detection2DArray
import time:       318 |        318 |                                 dimos_lcm.vision_msgs.VisionInfo
import time:       370 |        370 |                                 dimos_lcm.vision_msgs.BoundingBox2DArray
import time:       282 |        282 |                                 dimos_lcm.vision_msgs.Classification
import time:       326 |        326 |                                 dimos_lcm.vision_msgs.Detection3DArray
import time:       399 |        399 |                                 dimos_lcm.vision_msgs.BoundingBox3DArray
import time:       520 |       7364 |                               dimos_lcm.vision_msgs
import time:       534 |        534 |                                         dimos_lcm.foxglove_msgs.Color
import time:       920 |       1454 |                                       dimos_lcm.foxglove_msgs.LinePrimitive
import time:       464 |        464 |                                           lcm_msgs.builtin_interfaces.Time
import time:       413 |        413 |                                           lcm_msgs.builtin_interfaces.Duration
import time:       535 |       1411 |                                         lcm_msgs.builtin_interfaces
import time:       479 |       1889 |                                       dimos_lcm.foxglove_msgs.PosesInFrame
import time:       354 |        354 |                                       dimos_lcm.foxglove_msgs.ArrowPrimitive
import time:       271 |        271 |                                         dimos_lcm.foxglove_msgs.PackedElementField
import time:       370 |        641 |                                       dimos_lcm.foxglove_msgs.PointCloud
import time:       341 |        341 |                                       dimos_lcm.foxglove_msgs.Vector2
import time:       341 |        341 |                                       dimos_lcm.foxglove_msgs.RawImage
import time:       326 |        326 |                                       dimos_lcm.foxglove_msgs.Log
import time:       352 |        352 |                                       dimos_lcm.foxglove_msgs.SpherePrimitive
import time:       390 |        390 |                                       dimos_lcm.foxglove_msgs.TextPrimitive
import time:       342 |        342 |                                       dimos_lcm.foxglove_msgs.LaserScan
import time:       456 |        456 |                                       dimos_lcm.foxglove_msgs.CompressedImage
import time:       400 |        400 |                                       dimos_lcm.foxglove_msgs.PoseInFrame
import time:       309 |        309 |                                       dimos_lcm.foxglove_msgs.RawAudio
import time:       277 |        277 |                                           dimos_lcm.foxglove_msgs.Point2
import time:       342 |        618 |                                         dimos_lcm.foxglove_msgs.CircleAnnotation
import time:       328 |        328 |                                         dimos_lcm.foxglove_msgs.PointsAnnotation
import time:       313 |        313 |                                         dimos_lcm.foxglove_msgs.TextAnnotation
import time:       455 |       1713 |                                       dimos_lcm.foxglove_msgs.ImageAnnotations
import time:       299 |        299 |                                       dimos_lcm.foxglove_msgs.TriangleListPrimitive
import time:       354 |        354 |                                       dimos_lcm.foxglove_msgs.ModelPrimitive
import time:       421 |        421 |                                       dimos_lcm.foxglove_msgs.CylinderPrimitive
import time:       391 |        391 |                                       dimos_lcm.foxglove_msgs.CompressedVideo
import time:       345 |        345 |                                       dimos_lcm.foxglove_msgs.CameraCalibration
import time:       308 |        308 |                                           dimos_lcm.foxglove_msgs.KeyValuePair
import time:       261 |        261 |                                           dimos_lcm.foxglove_msgs.CubePrimitive
import time:       505 |       1072 |                                         dimos_lcm.foxglove_msgs.SceneEntity
import time:       349 |        349 |                                         dimos_lcm.foxglove_msgs.SceneEntityDeletion
import time:       334 |       1754 |                                       dimos_lcm.foxglove_msgs.SceneUpdate
import time:       386 |        386 |                                       dimos_lcm.foxglove_msgs.GeoJSON
import time:       323 |        323 |                                       dimos_lcm.foxglove_msgs.LocationFix
import time:       228 |        228 |                                       dimos_lcm.foxglove_msgs.FrameTransform
import time:       363 |        363 |                                       dimos_lcm.foxglove_msgs.Grid
import time:       236 |        236 |                                       dimos_lcm.foxglove_msgs.FrameTransforms
import time:       816 |      15211 |                                     dimos_lcm.foxglove_msgs
import time:        31 |      15242 |                                   dimos_lcm.foxglove_msgs.ImageAnnotations
import time:       317 |      15558 |                                 dimos.msgs.foxglove_msgs.ImageAnnotations
import time:       349 |      15907 |                               dimos.msgs.foxglove_msgs
import time:       406 |      23676 |                             dimos.perception.detection.type.detection2d.base
import time:       361 |        361 |                               dimos.msgs.foxglove_msgs.Color
import time:      1114 |       1114 |                                   dimos.utils.decorators.accumulators
import time:       743 |        743 |                                   dimos.utils.decorators.decorators
import time:       369 |       2225 |                                 dimos.utils.decorators
import time:        32 |       2256 |                               dimos.utils.decorators.decorators
import time:      1645 |       4262 |                             dimos.perception.detection.type.detection2d.bbox
import time:      1298 |       1298 |                               dimos.perception.detection.type.detection2d.person
import time:       905 |        905 |                               dimos.perception.detection.type.detection2d.seg
import time:       277 |        277 |                                 dimos.perception.detection.type.utils
import time:       416 |        692 |                               dimos.perception.detection.type.imageDetections
import time:       667 |       3560 |                             dimos.perception.detection.type.detection2d.imageDetections2D
import time:      1194 |       1194 |                             dimos.perception.detection.type.detection2d.point
import time:       338 |      33029 |                           dimos.perception.detection.type.detection2d
import time:      1042 |       1042 |                             dimos.perception.detection.type.detection3d.base
import time:       453 |        453 |                                 dimos.msgs.vision_msgs.BoundingBox2DArray
import time:       314 |        314 |                                 dimos.msgs.vision_msgs.BoundingBox3DArray
