import time: self [us] | cumulative | imported package
import time:       728 |      71290 |             yaml
import time:      1077 |       1077 |             dask.typing
import time:     19104 |     100287 |           dask.config
import time:       759 |        759 |                 _bisect
import time:       572 |       1331 |               bisect
import time:       945 |        945 |               _random
import time:       675 |        675 |               _sha2
import time:       944 |       3894 |             random
import time:       404 |        404 |               packaging
import time:       392 |        392 |               packaging._structures
import time:     12361 |      13156 |             packaging.version
import time:        81 |         81 |               gc
import time:      1033 |       1033 |               tempfile
import time:       778 |        778 |               numbers
import time:       383 |        383 |                       toolz.utils
import time:       582 |        964 |                     toolz.itertoolz
import time:      4392 |       4392 |                       toolz._signatures
import time:       740 |       5131 |                     toolz.functoolz
import time:       409 |        409 |                     toolz.dicttoolz
import time:       204 |        204 |                     toolz.recipes
import time:       601 |        601 |                       toolz.curried.operator
import time:       232 |        232 |                       toolz.curried.exceptions
import time:       562 |       1394 |                     toolz.curried
import time:       471 |        471 |                       toolz.sandbox.core
import time:       206 |        206 |                       toolz.sandbox.parallel
import time:       224 |        899 |                     toolz.sandbox
import time:     10354 |      19352 |                   toolz
import time:      2903 |      22255 |                 tlz._build_tlz
import time:       550 |      22804 |               tlz
import time:      2958 |      27652 |             dask.utils
import time:       514 |      45214 |           dask.datasets
import time:        66 |         66 |                     _string
import time:      3796 |       3862 |                   string
import time:       107 |        107 |                   atexit
import time:      7031 |      10998 |                 logging
import time:       949 |        949 |                       _csv
import time:       837 |       1785 |                     csv
import time:       575 |        575 |                     email
import time:       359 |        359 |                         zipfile._path.glob
import time:       843 |       1201 |                       zipfile._path
import time:      1547 |       2748 |                     zipfile
import time:       587 |        587 |                         quopri
import time:      1646 |       1646 |                             calendar
import time:       651 |       2297 |                           email._parseaddr
import time:       511 |        511 |                             email.base64mime
import time:       670 |        670 |                             email.quoprimime
import time:       729 |        729 |                             email.errors
import time:       443 |        443 |                             email.encoders
import time:       685 |       3035 |                           email.charset
import time:      2345 |       7676 |                         email.utils
import time:      3406 |       3406 |                           email.header
import time:       654 |       4059 |                         email._policybase
import time:      1002 |       1002 |                         email._encoded_words
import time:       479 |        479 |                         email.iterators
import time:      1353 |      15154 |                       email.message
import time:       462 |        462 |                         importlib.metadata._functools
import time:       596 |       1058 |                       importlib.metadata._text
import time:       724 |      16936 |                     importlib.metadata._adapters
import time:       770 |        770 |                     importlib.metadata._meta
import time:       598 |        598 |                     importlib.metadata._collections
import time:       311 |        311 |                     importlib.metadata._itertools
import time:       557 |        557 |                           importlib.resources.abc
import time:       511 |        511 |                           importlib.resources._adapters
import time:       772 |       1839 |                         importlib.resources._common
import time:       344 |        344 |                         importlib.resources._legacy
import time:       316 |       2499 |                       importlib.resources
import time:       660 |       3158 |                     importlib.abc
import time:      4558 |      31435 |                   importlib.metadata
import time:       559 |      31994 |                 dask._compatibility
import time:     66319 |     109310 |               dask.sizeof
import time:       970 |     110279 |             dask._task_spec
import time:      2237 |       2237 |               dataclasses
import time:      1860 |       1860 |                 _decimal
import time:       578 |       2438 |               decimal
import time:      2684 |       2684 |                 _hashlib
import time:       856 |        856 |                 _blake2
import time:       682 |       4222 |               hashlib
import time:       932 |        932 |                 _contextvars
import time:       484 |       1415 |               contextvars
